application_produced_year,sic,desktop_cpu_keywords,server_cpu_keywords,mobile_cpu_keywords,server_gpu_keywords,mobile_gpu_keywords,sum_obs,desktop_cpu_keywords_fraction,server_cpu_keywords_fraction,mobile_cpu_keywords_fraction,server_gpu_keywords_fraction,mobile_gpu_keywords_fraction
2011,7,36,24,68,17,46,191,0.18848168,0.12565445,0.35602094,0.08900524,0.2408377
2013,7,35,31,55,22,48,191,0.18324607,0.16230366,0.28795812,0.11518325,0.2513089
2010,7,26,17,67,19,65,194,0.13402062,0.08762887,0.34536082,0.09793814,0.33505155
2014,7,34,33,67,18,55,207,0.16425121,0.15942029,0.3236715,0.08695652,0.26570048
2016,7,43,33,64,24,52,216,0.19907407,0.15277778,0.2962963,0.11111111,0.24074074
2018,7,41,30,73,25,52,221,0.18552036,0.13574661,0.33031674,0.11312217,0.23529412
2004,8,0,0,0,0,0,0,0.198885403,0.122431207,0.381922673,0.15412748,0.142633227
2007,8,2,0,4,1,1,8,0.198885403,0.122431207,0.381922673,0.15412748,0.142633227
2009,8,1,1,8,2,1,13,0.198885403,0.122431207,0.381922673,0.15412748,0.142633227
2005,8,2,1,4,2,5,14,0.198885403,0.122431207,0.381922673,0.15412748,0.142633227
